GID	CID	SID	PEDIGREE	Drought_Yield	Irrig_Yield	Irrig_TKW	Irrig_DTH
5999744	512108	54	BABAX/LR39//BABAX/3/FILIN/2*PASTOR	4.4	7.31	46.5	81
5999769	512111	71	BABAX/LR42//BABAX/3/VORB	4.34	7.55	44.8	83.5
5999771	512111	73	BABAX/LR42//BABAX/3/VORB	4.35	7.67	43.6	81.5
5999774	512111	76	BABAX/LR42//BABAX/3/VORB	4.79	8.6	50.8	83.5
5999775	512111	77	BABAX/LR42//BABAX/3/VORB	4.66	8.82	48.7	80
5999777	512111	79	BABAX/LR42//BABAX/3/VORB	4.72	8.63	57.1	87
5999779	512118	61	PGO/SERI//BAU/3/DUCULA/4/FRET2/KUKUNA//FRET2	2.83	5.8	44.9	86
5999807	512157	88	VORB/4/D67.2/P66.270//AE.SQUARROSA (320)/3/CUNNINGHAM	4.31	7.15	47.3	79
5999816	512157	97	VORB/4/D67.2/P66.270//AE.SQUARROSA (320)/3/CUNNINGHAM	4.02	8.34	47.6	89
5999827	512159	98	VORB/4/CROC_1/AE.SQUARROSA (205)//BORL95/3/KENNEDY	4.4	6.95	46.5	85.5
5999830	512159	101	VORB/4/CROC_1/AE.SQUARROSA (205)//BORL95/3/KENNEDY	4.41	7.03	42.4	86.5
5999831	512159	102	VORB/4/CROC_1/AE.SQUARROSA (205)//BORL95/3/KENNEDY	3.98	8.2	40.7	90
5999832	512159	103	VORB/4/CROC_1/AE.SQUARROSA (205)//BORL95/3/KENNEDY	4.33	7.65	45.2	85.5
5999851	512186	69	YAR/AE.SQUARROSA (518)/3/PRL/SARA//TSI/VEE#5/4/ATTILA/5/BERKUT	4.05	7.64	40.4	81.5
5999852	512186	70	YAR/AE.SQUARROSA (518)/3/PRL/SARA//TSI/VEE#5/4/ATTILA/5/BERKUT	3.94	7.98	43.2	80.5
5999854	512186	72	YAR/AE.SQUARROSA (518)/3/PRL/SARA//TSI/VEE#5/4/ATTILA/5/BERKUT	4.11	8.02	41	80.5
5999901	512619	116	TIKKA/3/CROC_1/AE.SQUARROSA (224)//2*KULIN/6/CPI/GEDIZ/3/GOO//ALB/CRA/4/AE.SQUARROSA (208)/5/2*WESTONIA	3.71	7.23	38.3	91
5999926	512744	85	PROINTA SUPERIOR/4/RL6043/4*NAC//PASTOR/3/BAV92/5/KLEIN SAGITARIO	3.67	7.14	43	85.5
5999927	512744	86	PROINTA SUPERIOR/4/RL6043/4*NAC//PASTOR/3/BAV92/5/KLEIN SAGITARIO	3.92	6.87	45.8	84
5999950	512751	116	HIDHAB//2*PBW343*2/TUKURU	3.77	6.72	49.9	78.5
5999956	512754	57	POTCH 92//2*TACUPETO F2001*2/KUKUNA	3.86	7.1	50.9	86
5999970	512755	69	POTCH 93/4/MILAN/KAUZ//PRINIA/3/BAV92/5/MILAN/KAUZ//PRINIA/3/BAV92	4.34	7.32	51.1	86.5
