grain_yield	pht_height	heading_date
4869	78	57.5
4621	74	56
4557	66	58
5484	77	59
4641	69	55.5
4516	76	58.5
4920	77	58
5430	72	58
5629	82	58
4315	70	59.5
4258	62	56.5
4328	66	57.5
4483	68	58
4792	62	56.5
4113	70	58
4671	80	58
4755	76	58
4503	76	58.5
4456	80	59
5773	78	58.5
4227	76	59
4658	73	58.5
4241	78	59
4342	72	58.5
4469	77	58
4375	74	58.5
4688	70	58.5
5165	82	59
3841	79	59
6136	82	58
3636	72	58
4574	70	57.5
4301	76	58.5
4019	76	58.5
4483	72	58
4516	78	58.5
4923	82	57.5
4049	72	58.5
3898	74	58
4816	76	57
3858	78	57.5
4120	76	59
4261	74	59
4372	70	59
5430	82	58
4600	78	59
4311	74	59.5
5370	76	58.5
6798	82	58
4120	77	58.5
3912	76	58
4083	74	59
3199	72	58.5
4137	78	58
5424	78	58
5004	85	58
5199	83	58
4584	75	58
4651	72	58
4721	72	58
4678	78	57.5
4846	73	58
6002	77	58
4177	76	59
4627	70	58
4483	74	55
3915	72	56.5
4745	75	58
4819	64	57.5
5370	76	55.5
3959	73	58
4469	76	57
4311	74	58.5
5175	80	58
4563	73	58
4251	76	58.5
4342	74	59
3985	76	59
4063	72	59
3703	78	59
4043	78	59
3945	74	58.5
5249	80	58
3663	70	58
4325	70	57.5
4647	76	59
4382	71	57
5286	77	58
4426	82	58
4947	76	58
2682	62	56
3263	61	55
2877	70	56.5
4096	68	56
2964	64	57
2356	74	56.5
